"Avg. Area Income","Avg. Area House Age","Avg. Area Number of Rooms","Avg. Area Number of Bedrooms","Area Population","Price","Address"
"79545.458574317","5.6828613216156","7.0091881427922","4.09","23086.800502686","1059033.5578701","208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
"79248.642454826","6.0028998082752","6.7308210190949","3.09","40173.072173645","1505890.9148469","188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
"61287.067178657","5.86588984031","8.5127274303751","5.13","36882.159399705","1058987.9878761","9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
"63345.240046228","7.1882360945186","5.5867286648277","3.26","34310.242830907","1260616.8066294","USS Barnett
FPO AP 44820"
"59982.197225708","5.0405545231063","7.8393877851205","4.23","26354.109472103","630943.48933854","USNS Raymond
FPO AE 09386"
"80175.754159485","4.9884077575337","6.1045124394289","4.04","26748.42842469","1068138.0743935","06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
"64698.463427888","6.0253359068872","8.1477595850234","3.41","60828.249085407","1502055.8173744","4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
"78394.339277531","6.9897797477183","6.620477995185","2.42","36516.358972494","1573936.5644777","972 Joyce Viaduct
Lake William, TN 17778-6483"
"59927.66081335","5.3621255696036","6.3931209805509","2.3","29387.396002816","798869.53283316","USS Gilbert
FPO AA 20957"
"81885.927184096","4.4236717898979","8.1676880034724","6.1","40149.965749213","1545154.812642","Unit 9446 Box 0958
DPO AE 97025"
"80527.472082923","8.0935126806393","5.042746799646","4.1","47224.359840222","1707045.7221581","6368 John Motorway Suite 700
Janetbury, NM 26854"
"50593.695497043","4.496512793097","7.467627404008","4.49","34343.991885579","663732.39689633","911 Castillo Park Apt. 717
Davisborough, PW 78603"
"39033.809236982","7.6717553728544","7.2500293172735","3.1","39220.361467372","1042814.0978201","209 Natasha Stream Suite 961
Huffmanland, NE 52457"
"73163.663441047","6.9195348254566","5.9931879009456","2.27","32326.123139488","1291331.5184858","829 Welch Track Apt. 992
North John, AR 26532-5136"
"69391.380184362","5.3447761767357","8.4064177145343","4.37","35521.294033173","1402818.2101659","PSC 5330, Box 4420
APO AP 08302"
"73091.866745823","5.4431564665355","8.517512711138","4.01","23929.524053268","1306674.6599512","2278 Shannon View
North Carriemouth, NM 84617"
"79706.963057657","5.067889591059","8.2197711232863","3.12","39717.81357631","1556786.6001948","064 Hayley Unions
Nicholsborough, HI 44161-1887"
"61929.077018089","4.7885502418059","5.0970095543776","4.3","24595.901497823","528485.2467306","5498 Rachel Locks
New Gregoryshire, PW 54755"
"63508.19429943","5.9471651395525","7.1877738353297","5.12","35719.653052031","1019425.9367578","Unit 7424 Box 2786
DPO AE 71255"
"62085.276403405","5.7394108436306","7.09180810425","5.49","44922.106702293","1030591.4292116","19696 Benjamin Cape
Stephentown, ME 36952-4733"
"86294.999088711","6.6274569397817","8.0118978531506","4.07","47560.775336295","2146925.3398887","030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
"60835.089978854","5.5512215919903","6.5171750380948","2.1","45574.741662258","929247.5995364","USNS Brown
FPO AP 85833"
"64490.650266755","4.2103228700548","5.4780877307691","4.31","40358.960105618","718887.23150093","95198 Ortiz Key
Port Sara, TN 24541-2855"
"60697.351539448","6.1704840908385","7.150536572336","6.34","28140.967087725","743999.8191602","9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
"59748.855486974","5.3393398807459","7.7486816056066","4.23","27809.986543759","895737.13338351","24282 Paul Valley
West Perry, MI 03169-5806"
"56974.476538796","8.287562193759","7.312879971463","4.33","40694.869513022","1453974.5059509","61938 Brady Falls
Lewisfort, DE 61227"
"82173.626075846","4.0185246849428","6.9926987567918","2.03","38853.918066482","1125692.5072953","3599 Ramirez Springs
Jacksonhaven, AZ 72798"
"64626.880978135","5.4433595901921","6.988753538662","4","27784.742280186","975429.49279292","073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
"90499.057451348","6.3843589207152","4.2421913015726","3.04","33970.164990371","1240763.7655715","6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
"59323.7920997","6.9778279401788","8.2736970777766","4.07","37520.65773245","1577017.7600016","17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
"77811.522034574","5.3144602148066","6.6866861330047","3.24","33754.737804985","1246830.1884286","1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
"68652.609210907","6.1243421003103","6.2908201669967","4.42","39355.62572947","1170720.8936543","4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
"55041.351583339","7.1271285527323","8.591923294114","5.36","30122.473483558","1071279.2102445","0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
"50218.708463001","6.1188081306103","7.3335540720977","6.29","16810.783311258","534305.13233493","039 Jordan Pike
Emilyville, ID 27442"
"55909.322295154","5.4195629106827","9.2898543722588","6","22355.235406669","936368.96340486","66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
"74372.810209155","5.5001285728417","6.5930456039104","2.07","39395.151182329","1199193.8313295","7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
"78667.904597647","5.4706522067544","7.7808366928533","4.1","27637.656548219","1233220.0094778","34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
"78699.51510291","5.6527836365363","6.7564538562508","3.01","22836.607569491","1081150.1254838","7585 Lynn Loop
East Judy, WV 73336"
"53128.185448914","5.1806641248238","5.4269028586106","2.39","32947.711955069","524712.76606745","Unit 1388 Box 9350
DPO AP 70848"
"17796.631189543","4.9495570055571","6.7139054447021","2.5","47162.183643191","302355.83597896","9932 Eric Circles
Lake Martha, WY 34611-6127"
"58566.849363421","6.5796914528777","5.0345253519031","2.17","39705.464959356","1026817.3997885","7896 Walker Spring
Loriport, MH 72956"
"75537.79451","7.8452159144442","7.5556607208222","6.3","32778.195341888","1762214.6795819","549 Darren Plaza
Lake Kevin, UT 27155"
"46147.053056343","6.6233328293207","7.6068315496674","4.43","27161.128607946","882057.17059284","90634 Michelle Valleys
North Victoria, WV 99370"
"70421.476487608","6.9070829699853","7.6343187314467","4.44","43183.928487881","1744932.2109909","580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
"62614.420619127","5.4993096971161","7.4405052178922","6.32","26888.579562939","1153871.4695016","43087 Jerome Field
West Deborah, SD 49213"
"66394.871585848","7.0695121538372","7.2046397092483","3.18","39741.077509434","1499988.8795226","71956 Jenkins Fall
Brooketown, PW 67485-0764"
"73946.851073978","4.863154306055","7.5371823653532","6.35","35261.127018369","1109588.3801625","8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
"69144.74570744","7.2962244968627","5.9282234729515","3.22","19030.615486775","980177.30513713","Unit 8108 Box 5159
DPO AP 04678"
"77278.697028187","6.238891014754","6.9192041363729","2.13","21725.954289635","1323952.0274252","08639 Garcia Port
Anthonybury, CT 17971"
"86754.196628612","6.6044398185681","6.2524548053494","4.02","43017.440757154","1662494.7355444","91863 Curtis Point
New Richard, AK 99996-7554"
"74399.840981914","6.3824529122354","7.2526653223852","6.36","41084.662824632","1417819.7402181","03819 Lee Junction Suite 046
Mooneyborough, WA 19656"
"49408.198340144","5.8259204756068","5.8317389725725","3.32","26881.130597967","549976.14555958","7796 Joseph Burg
Danielsside, RI 70370"
"62279.790051574","6.1084499912817","6.3061163498489","4.12","35263.653137452","1054770.9806475","173 Mendoza Land
West John, NJ 57690"
"73078.204085618","5.9239063895999","6.4454566905258","3.32","54915.961781984","1415647.5534372","3288 Lee Pass
South Julieton, PW 02759-4964"
"72942.705059134","4.7862222950867","7.3198855301256","6.41","24377.909049317","948788.27570945","86908 Marshall Port Suite 252
Scotttown, NM 69143"
"63819.622851141","5.9498394706431","8.0224692393269","4.09","27825.572061294","1159596.5186196","951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266"
"73265.449887906","8.3147619789825","7.4255974600341","3.24","21030.966177172","1547133.3964004","00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754"
"68488.13117302","6.1161117482607","7.1825274800029","5.08","18267.954705639","1186688.5059383","84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955"
"55193.85745315","7.1861206669993","5.0969174562076","4.01","32537.818768918","772111.9721021","13706 Morgan Turnpike Suite 378
Hohaven, NC 42699"
"77434.689240445","6.3092713531466","5.2197540291955","3.06","36252.340682344","1172730.1557693","4872 Delgado Ramp
North James, IA 36544"
"66158.881585013","4.4764290664648","6.9117426100415","2.28","37098.742172352","1111085.0168911","73202 Christopher Tunnel
New Roberttown, MN 08925-1536"
"60502.909333844","7.5333809861455","5.7318241248697","4.23","33579.631512168","1022781.1707429","8781 Olivia Port Apt. 225
Thompsonside, VT 22884"
